"d4r55","RfnDt","rsqaWe","wiI7pd"
"Vamos Atleti","Local Guide · 138 reseñas · 6 fotos","Hace un año","Estación limpia que funciona perfectamente, con buenas frecuencias durante la semana. Pero un tren cada 30 minutos durante los fines de semana no es suficiente."
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Berna es una estación del servicio de metro ligero 2 en Pozuelo Alarcón al lado de la vía ferroviaria en Madrid España"
"Tatiana Sierra Navarrete","Local Guide · 61 reseñas · 4 fotos","Hace 7 años","Una estación de metro ligero muy básica."
"Carlos Galera","Local Guide · 277 reseñas · 314 fotos","Hace 8 años","Estación de metro ligero sacada del lejano oeste"
"S Lucía","5 reseñas","Hace 6 años","Es un poco solitaria, sobre todo cuando ya ha anochecido."
"Elperrofox","Local Guide · 5 reseñas · 10 fotos","Hace 7 años","Tiene ascensor eso es bueno"
"Camilo Rafael Fabra González","Local Guide · 85 reseñas · 372 fotos","Hace un año",""
"Francisco","Local Guide · 1.404 reseñas · 7.759 fotos","Hace 2 años",""
"Pavimento hormigón impreso Madrid","107 reseñas","Hace 6 años",""
