"d4r55","RfnDt","rsqaWe","wiI7pd"
"Rafael Villa","17 reseñas · 4 fotos","Hace 3 semanas","Muy buena estación de metro ligero cercana a la universidad de somosaguas y diría que no es una estación muy transitada. está bien si tienes a algún familiar que estudie allí. Estación con buena comunicación."
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Campus de somosaguas es una estación del servicio de metro ligero 2 en el campus en Madrid España"
"Víctor Sánchez","Local Guide · 490 reseñas · 1.738 fotos","Hace 7 años","Estación de metro ligero muy cercana al campus universitario del mismo nombre"
"Matias Jimenez","Local Guide · 34 reseñas · 415 fotos","Hace 6 años","Universidad Complutense -  Económicas"
"Vamos Atleti","Local Guide · 138 reseñas · 6 fotos","Hace un año",""
"Manuel MARTINEZ DE LEON","4 reseñas","Hace 4 años",""
"Salva LLorens","","Hace 6 años",""
"Pavimento hormigón impreso Madrid","107 reseñas","Hace 6 años",""
"iñigo Sola torres","Local Guide · 57 reseñas · 44 fotos","Hace 8 años",""
